"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Can_Approve__c","fleetforce__Contact__c","fleetforce__Fleet_Branch__c","fleetforce__Is_Primary__c","fleetforce__Role__c","fleetforce__Status__c","fleetforce__Type__c","fleetforce__User__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Contact__r.Email","fleetforce__Fleet_Branch__r.fleetforce__Branch_ID__c","fleetforce__User__r.Name"
"a08Wm000009MoYcIAK","BAN-0002","2026-08-20T13:58:22.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:22.000+0000","005Wm000002EIUDIA4","true","003Wm00000GG8LOIA1","a0DWm000002RWttMAG","true","Manager","Active","Full Time","005Wm000002EIUDIA4","User User","User User","marcus.vance@fleetforce-demo.com","BR-ATL","User User"
"a08Wm000009Mox6IAC","BAN-0007","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG97mIAD","a0DWm000002RWttMAG","true","Driver","Active","Contractor","#N/A","User User","User User","brooke.sullivan@fleetforce-demo.com","BR-ATL","#N/A"
"a08Wm000009Mox7IAC","BAN-0012","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3C3IAL","a0DWm000002RVmiMAG","true","Driver","Active","Full Time","#N/A","User User","User User","ethan.kowalski@fleetforce-demo.com","BR-DEN","#N/A"
"a08Wm000009MpGRIA0","BAN-0004","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","true","003Wm00000GG7KUIA1","a0DWm000002RWvVMAW","true","Manager","Active","Full Time","005Wm000002EIUDIA4","User User","User User","david.holt@fleetforce-demo.com","BR-DAL","User User"
"a08Wm000009MpQAIA0","BAN-0010","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG4GEIA1","a0DWm000002RWvVMAW","true","Driver","Active","Full Time","#N/A","User User","User User","lucas.moreno@fleetforce-demo.com","BR-DAL","#N/A"
"a08Wm000009MqHQIA0","BAN-0016","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAOnIAP","a0DWm000002RVmiMAG","true","Driver","Active","Contractor","#N/A","User User","User User","noah.ramirez@fleetforce-demo.com","BR-DEN","#N/A"
"a08Wm000009MqeZIAS","BAN-0024","2026-08-20T13:58:26.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:26.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAOoIAP","a0DWm000002RWx7MAG","true","Driver","Active","Full Time","#N/A","User User","User User","zoe.kaufman@fleetforce-demo.com","BR-PHX","#N/A"
"a08Wm000009MrQ6IAK","BAN-0022","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","true","003Wm00000GFzd6IAD","a0DWm000002RWx7MAG","true","Manager","Active","Full Time","005Wm000002EIUDIA4","User User","User User","samantha.chen@fleetforce-demo.com","BR-PHX","User User"
"a08Wm000009MrVBIA0","BAN-0013","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG41gIAD","a0DWm000002RWx7MAG","true","Driver","On Leave","Full Time","#N/A","User User","User User","gabriel.navarro@fleetforce-demo.com","BR-PHX","#N/A"
"a08Wm000009MsDMIA0","BAN-0020","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3C4IAL","a0DWm000002RWvVMAW","true","Driver","Active","Full Time","#N/A","User User","User User","sophia.alvarez@fleetforce-demo.com","BR-DAL","#N/A"
"a08Wm000009Mu3BIAS","BAN-0008","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG41fIAD","a0DWm000002RWttMAG","true","Driver","Active","Full Time","#N/A","User User","User User","jackson.miller@fleetforce-demo.com","BR-ATL","#N/A"
"a08Wm000009Mu3CIAS","BAN-0015","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAQPIA5","a0DWm000002RWvVMAW","true","Driver","Active","Contractor","#N/A","User User","User User","wyatt.travis@fleetforce-demo.com","BR-DAL","#N/A"
"a08Wm000009Mu4nIAC","BAN-0014","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","false","003Wm00000GFwVbIAL","a0DWm000002RVmiMAG","true","Driver","Active","Full Time","#N/A","User User","User User","chloe.bennett@fleetforce-demo.com","BR-DEN","#N/A"
"a08Wm000009Mu4oIAC","BAN-0019","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","true","003Wm00000GG6hoIAD","a0DWm000002RVmiMAG","true","Manager","Active","Full Time","005Wm000002EIUDIA4","User User","User User","elena.reyes@fleetforce-demo.com","BR-DEN","User User"
