"Id","AccountId","LastName","FirstName","Phone","MobilePhone","Email","Title","Department","fleetforce__Contact_Type__c","fleetforce__Driver_Branch__c","fleetforce__Driver_Status__c","fleetforce__License_Class__c","fleetforce__License_Expiry__c","fleetforce__License_Number__c","fleetforce__License_State__c","fleetforce__Medical_Cert__c","fleetforce__Related_User__c","fleetforce__Safety_Score__c","fleetforce__Driver_Branch__r.fleetforce__Branch_ID__c","fleetforce__Related_User__r.Name"
"003Wm00000GG6hoIAD","001Wm00000K86MaIAJ","Reyes","Elena","(303) 555-0110","(303) 555-0212","elena.reyes@fleetforce-demo.com","Regional Fleet Manager","Branch Administration","Manager","a0DWm000002RVmiMAG","Active","Class D","2027-11-20","CO-7731902","CO","2025-08-15","#N/A","96","BR-DEN","#N/A"
"003Wm00000GG7KUIA1","001Wm00000K86MaIAJ","Holt","David","(214) 555-0110","(214) 555-0213","david.holt@fleetforce-demo.com","Fleet Logistics Manager","Branch Administration","Manager","a0DWm000002RWvVMAW","Active","Class A CDL","2028-03-10","TX-4019284","TX","2025-03-12","#N/A","95","BR-DAL","#N/A"
"003Wm00000GG8GaIAL","001Wm00000K86MaIAJ","O'Connor","Derrick","(214) 555-0101","(214) 555-0313","derrick.oconnor@fleetforce-demo.com","Regional Delivery Driver","Regional Logistics","Driver","a0DWm000002RWvVMAW","Suspended","Class D","2026-07-28","TX-5920194","TX","2025-07-28","#N/A","62","BR-DAL","#N/A"
"003Wm00000GG8LOIA1","001Wm00000K80HGIAZ","Vance","Marcus","(404) 555-0110","(404) 555-0211","marcus.vance@fleetforce-demo.com","Branch Operations Director","Branch Administration","Manager","a0DWm000002RWttMAG","Active","Class D","2028-05-14","GA-9821441","GA","2025-05-10","#N/A","98","BR-ATL","#N/A"
"003Wm00000GG8LPIA1","001Wm00000K80HGIAZ","Washington","Liam","(404) 555-0101","(404) 555-0305","liam.washington@fleetforce-demo.com","Delivery Courier","Express Transport","Driver","a0DWm000002RWttMAG","Active","Class D","2028-02-18","GA-8201924","GA","2026-02-14","#N/A","85","BR-ATL","#N/A"
"003Wm00000GG8d9IAD","001Wm00000K80HGIAZ","Lindqvist","Hannah","(303) 555-0101","(303) 555-0309","hannah.lindqvist@fleetforce-demo.com","Service Van Specialist","Field Services","Driver","a0DWm000002RVmiMAG","Active","Class D","2027-12-05","CO-9028193","CO","2025-12-05","#N/A","96","BR-DEN","#N/A"
"003Wm00000GG97mIAD","001Wm00000K80HGIAZ","Sullivan","Brooke","(404) 555-0101","(404) 555-0304","brooke.sullivan@fleetforce-demo.com","Field Technician / Driver","Field Services","Driver","a0DWm000002RWttMAG","Active","Class D","2027-10-12","GA-5820193","GA","2025-10-10","#N/A","94","BR-ATL","#N/A"
"003Wm00000GG9J5IAL","001Wm00000K802rIAB","Jackson","Aaliyah","(214) 555-0101","(214) 555-0314","aaliyah.jackson@fleetforce-demo.com","Field Fleet Specialist","Field Services","Driver","a0DWm000002RWvVMAW","Active","Class D","2028-11-15","TX-8492019","TX","2025-11-15","#N/A","93","BR-DAL","#N/A"
"003Wm00000GGAOnIAP","001Wm00000K802rIAB","Ramirez","Noah","(303) 555-0101","(303) 555-0310","noah.ramirez@fleetforce-demo.com","Fleet Courier","Express Transport","Driver","a0DWm000002RVmiMAG","Active","Class D","2028-07-14","CO-5820194","CO","2026-07-14","#N/A","64","BR-DEN","#N/A"
"003Wm00000GGAOoIAP","001Wm00000K802rIAB","Kaufman","Zoe","(602) 555-0101","(602) 555-0317","zoe.kaufman@fleetforce-demo.com","Southwest Route Driver","Express Transport","Driver","a0DWm000002RWx7MAG","Active","Class D","2028-10-09","AZ-4920183","AZ","2025-10-09","#N/A","91","BR-PHX","#N/A"
"003Wm00000GGAQPIA5","001Wm00000K802qIAB","Travis","Wyatt","(214) 555-0101","(214) 555-0311","wyatt.travis@fleetforce-demo.com","Heavy Haul Specialist","Regional Logistics","Driver","a0DWm000002RWvVMAW","Active","Class A CDL","2028-04-19","TX-9382019","TX","2025-04-19","#N/A","97","BR-DAL","#N/A"
"003Wm00000GGAS1IAP","001Wm00000K802qIAB","Cooper","Austin","(602) 555-0101","(602) 555-0320","austin.cooper@fleetforce-demo.com","Commercial Route Specialist","Regional Logistics","Driver","a0DWm000002RWx7MAG","Active","Class B CDL","2027-01-19","AZ-6829104","AZ","2026-01-19","#N/A","78","BR-PHX","#N/A"
