"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Fleet_Asset__c","fleetforce__Driver__c","fleetforce__Has_Key__c","fleetforce__Is_Active__c","fleetforce__Type__c","fleetforce__End_Date__c","fleetforce__Restriction_Notes__c","fleetforce__Start_Date__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Driver__r.Email"
"a06Wm000007PkZvIAK","AUTH-0007","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2SMAQ","003Wm00000GGAOoIAP","true","false","Occasional","2026-05-31","Corrective lenses required (glasses/contacts)","2025-06-01","User User","User User","FA-0103","zoe.kaufman@fleetforce-demo.com"
"a06Wm000007PkZwIAK","AUTH-0011","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SnMAI","003Wm00000GG41fIAD","true","true","Occasional","#N/A","No interstate transport (intrastate routes only)","2025-06-01","User User","User User","FA-0105","jackson.miller@fleetforce-demo.com"
"a06Wm000007PkgNIAS","AUTH-0033","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0gZMAQ","003Wm00000GG1qDIAT","true","true","Occasional","#N/A","#N/A","2025-06-01","User User","User User","FA-0117","maya.patel@fleetforce-demo.com"
"a06Wm000007PkgOIAS","AUTH-0041","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2TMAQ","003Wm00000GG6DBIA1","true","true","Occasional","#N/A","#N/A","2025-06-01","User User","User User","FA-0122","carlos.gomez@fleetforce-demo.com"
"a06Wm000007PkhzIAC","AUTH-0023","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8VZMAY","003Wm00000GG6DBIA1","true","true","Occasional","#N/A","Daylight driving hours only","2025-06-01","User User","User User","FA-0112","carlos.gomez@fleetforce-demo.com"
"a06Wm000007PkjaIAC","AUTH-0027","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3shMAA","003Wm00000GG8d9IAD","true","true","Occasional","#N/A","#N/A","2025-06-01","User User","User User","FA-0114","hannah.lindqvist@fleetforce-demo.com"
"a06Wm000007PkmoIAC","AUTH-0040","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2TMAQ","003Wm00000GGAS1IAP","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0122","austin.cooper@fleetforce-demo.com"
"a06Wm000007PmWrIAK","AUTH-0002","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8lfMAA","003Wm00000GG3C4IAL","true","true","Primary","#N/A","Corrective lenses required (glasses/contacts)","2025-01-10","User User","User User","FA-0101","sophia.alvarez@fleetforce-demo.com"
"a06Wm000007PmWsIAK","AUTH-0026","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3shMAA","003Wm00000GG4swIAD","true","true","Primary","2026-12-31","#N/A","2025-01-10","User User","User User","FA-0114","tariq.mansour@fleetforce-demo.com"
"a06Wm000007PmYTIA0","AUTH-0004","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","a0CWm00000xmxXYMAY","003Wm00000GG41fIAD","true","true","Primary","#N/A","Automatic transmission only (no manual clutch)","2025-01-10","User User","User User","FA-0102","jackson.miller@fleetforce-demo.com"
"a06Wm000007Pma5IAC","AUTH-0005","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","a0CWm00000xmxXYMAY","003Wm00000GG6DBIA1","true","true","Occasional","#N/A","Corrective lenses required (glasses/contacts)","2025-06-01","User User","User User","FA-0102","carlos.gomez@fleetforce-demo.com"
"a06Wm000007PmbhIAC","AUTH-0006","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2SMAQ","003Wm00000GG1qDIAT","true","true","Primary","#N/A","Local delivery routes only (within 50mi radius of hub)","2025-01-10","User User","User User","FA-0103","maya.patel@fleetforce-demo.com"
"a06Wm000007PmdJIAS","AUTH-0008","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6SoMAI","003Wm00000GG3C3IAL","true","true","Primary","#N/A","Daylight driving hours only","2025-01-10","User User","User User","FA-0104","ethan.kowalski@fleetforce-demo.com"
"a06Wm000007PmdKIAS","AUTH-0012","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SoMAI","003Wm00000GG97mIAD","true","true","Primary","#N/A","Corrective lenses required (glasses/contacts)","2025-01-10","User User","User User","FA-0106","brooke.sullivan@fleetforce-demo.com"
"a06Wm000007PmdLIAS","AUTH-0013","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SoMAI","003Wm00000GG41gIAD","true","false","Occasional","2026-06-30","Class B/D commercial vehicles only (no trailer combinations)","2025-06-01","User User","User User","FA-0106","gabriel.navarro@fleetforce-demo.com"
"a06Wm000007PmdMIAS","AUTH-0029","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6nAMAQ","003Wm00000GG41fIAD","true","false","Occasional","2026-07-31","#N/A","2025-06-01","User User","User User","FA-0115","jackson.miller@fleetforce-demo.com"
"a06Wm000007PmdNIAS","AUTH-0046","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","a0CWm00000xn890MAA","003Wm00000GG4swIAD","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0125","tariq.mansour@fleetforce-demo.com"
"a06Wm000007PmevIAC","AUTH-0009","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6SoMAI","003Wm00000GG8d9IAD","true","true","Occasional","#N/A","Automatic transmission only (no manual clutch)","2025-06-01","User User","User User","FA-0104","hannah.lindqvist@fleetforce-demo.com"
"a06Wm000007PmgXIAS","AUTH-0015","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8grMAA","003Wm00000GG1qDIAT","true","true","Occasional","#N/A","Annual medical examination review required","2025-06-01","User User","User User","FA-0107","maya.patel@fleetforce-demo.com"
"a06Wm000007Pmi9IAC","AUTH-0016","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","a0CWm00000xmwMdMAI","003Wm00000GG8LPIA1","true","true","Primary","#N/A","Automatic transmission only (no manual clutch)","2025-01-10","User User","User User","FA-0108","liam.washington@fleetforce-demo.com"
"a06Wm000007PmjlIAC","AUTH-0017","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","a0CWm00000xmwMdMAI","003Wm00000GG3vFIAT","true","true","Occasional","#N/A","Hearing aid required while operating commercial vehicle","2025-06-01","User User","User User","FA-0108","jordan.reed@fleetforce-demo.com"
"a06Wm000007PmlNIAS","AUTH-0019","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8tiMAA","003Wm00000GG8LPIA1","true","true","Occasional","#N/A","Restricted from hazardous materials (HAZMAT) transport","2025-06-01","User User","User User","FA-0110","liam.washington@fleetforce-demo.com"
"a06Wm000007PmmzIAC","AUTH-0020","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0l1MAA","003Wm00000GG3C3IAL","true","true","Primary","#N/A","Local delivery routes only (within 50mi radius of hub)","2025-01-10","User User","User User","FA-0111","ethan.kowalski@fleetforce-demo.com"
"a06Wm000007PmobIAC","AUTH-0024","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","a0CWm00000xn134MAA","003Wm00000GG9J5IAL","true","true","Primary","#N/A","Corrective lenses required (glasses/contacts)","2025-01-10","User User","User User","FA-0113","aaliyah.jackson@fleetforce-demo.com"
"a06Wm000007PmqDIAS","AUTH-0025","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","a0CWm00000xn134MAA","003Wm00000GGAOoIAP","true","true","Occasional","#N/A","#N/A","2025-06-01","User User","User User","FA-0113","zoe.kaufman@fleetforce-demo.com"
"a06Wm000007PmrpIAC","AUTH-0028","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6nAMAQ","003Wm00000GG8d9IAD","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0115","hannah.lindqvist@fleetforce-demo.com"
"a06Wm000007PmtRIAS","AUTH-0031","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7VgMAI","003Wm00000GG41gIAD","true","true","Occasional","#N/A","#N/A","2025-06-01","User User","User User","FA-0116","gabriel.navarro@fleetforce-demo.com"
"a06Wm000007PmtSIAS","AUTH-0034","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VIMAY","003Wm00000GG3vGIAT","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0119","isabella.santos@fleetforce-demo.com"
"a06Wm000007Pmv3IAC","AUTH-0036","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8IeMAI","003Wm00000GGAQPIA5","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0120","wyatt.travis@fleetforce-demo.com"
"a06Wm000007PmwfIAC","AUTH-0037","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8IeMAI","003Wm00000GG8LPIA1","true","true","Occasional","2027-03-31","#N/A","2025-06-01","User User","User User","FA-0120","liam.washington@fleetforce-demo.com"
"a06Wm000007PmyHIAS","AUTH-0038","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VJMAY","003Wm00000GG3C4IAL","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0121","sophia.alvarez@fleetforce-demo.com"
"a06Wm000007PmztIAC","AUTH-0039","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VJMAY","003Wm00000GFwVbIAL","true","true","Occasional","#N/A","#N/A","2025-06-01","User User","User User","FA-0121","chloe.bennett@fleetforce-demo.com"
"a06Wm000007Pn1VIAS","AUTH-0043","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","a0CWm00000xn1BHMAY","003Wm00000GGAOoIAP","true","true","Occasional","#N/A","#N/A","2025-06-01","User User","User User","FA-0123","zoe.kaufman@fleetforce-demo.com"
"a06Wm000007Pn37IAC","AUTH-0044","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","a0CWm00000xn42cMAA","003Wm00000GG9J5IAL","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0124","aaliyah.jackson@fleetforce-demo.com"
"a06Wm000007Pn4jIAC","AUTH-0045","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","a0CWm00000xn42cMAA","003Wm00000GG8d9IAD","true","true","Occasional","#N/A","#N/A","2025-06-01","User User","User User","FA-0124","hannah.lindqvist@fleetforce-demo.com"
