"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Anomaly_Detected__c","fleetforce__Driver__c","fleetforce__External_ID__c","fleetforce__Fleet_Asset__c","fleetforce__Fuel_Card__c","fleetforce__Fuel_Economy__c","fleetforce__Full_Tank__c","fleetforce__Odometer__c","fleetforce__Product_Type__c","fleetforce__Receipt_URL__c","fleetforce__Station_Geo__Latitude__s","fleetforce__Station_Geo__Longitude__s","fleetforce__Tax_Amount__c","fleetforce__Transaction_Date__c","fleetforce__Trip_Distance__c","fleetforce__UOM__c","fleetforce__Unit_Cost__c","fleetforce__Vendor_Name__c","fleetforce__Volume__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Driver__r.Email","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Fuel_Card__r.Name"
"a0GWm000000f4qsMAA","FL-FA-0115-1021","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","false","003Wm00000GFwVbIAL","EXT-FL-FA-0115-1021","a0CWm00000xn6nAMAQ","a0FWm000001SfxJMAS","20.2","true","9800","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0115.pdf","#N/A","#N/A","4.91","2026-08-15T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","chloe.bennett@fleetforce-demo.com","FA-0115","WEX-CARD-010"
"a0GWm000000f4sTMAQ","FL-FA-0123-1010","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG4GEIA1","EXT-FL-FA-0123-1010","a0CWm00000xn1BHMAY","a0FWm000001SfyvMAC","20.2","true","43800","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0123.pdf","#N/A","#N/A","4.91","2026-08-12T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","lucas.moreno@fleetforce-demo.com","FA-0123","WEX-CARD-011"
"a0GWm000000f4u5MAA","FL-FA-0105-1011","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG41gIAD","EXT-FL-FA-0105-1011","a0CWm00000xn3SnMAI","a0FWm000001Sg0XMAS","20.2","true","41200","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0105.pdf","#N/A","#N/A","4.91","2026-08-13T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","gabriel.navarro@fleetforce-demo.com","FA-0105","WEX-CARD-012"
"a0GWm000000f4vhMAA","FL-FA-0131-1014","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAOnIAP","EXT-FL-FA-0131-1014","a0CWm00000xn3yzMAA","a0FWm000001SfndMAC","20.2","true","25400","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0131.pdf","#N/A","#N/A","4.91","2026-08-16T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","noah.ramirez@fleetforce-demo.com","FA-0131","WEX-CARD-003"
"a0GWm000000f4xJMAQ","FL-FA-0124-1015","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3vFIAT","EXT-FL-FA-0124-1015","a0CWm00000xn42cMAA","a0FWm000001SfpFMAS","20.2","true","36700","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0124.pdf","#N/A","#N/A","4.91","2026-08-17T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","jordan.reed@fleetforce-demo.com","FA-0124","WEX-CARD-004"
"a0GWm000000f4yvMAA","FL-FA-0133-1016","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3vGIAT","EXT-FL-FA-0133-1016","a0CWm00000xn42dMAA","a0FWm000001SfqrMAC","20.2","true","14800","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0133.pdf","#N/A","#N/A","4.91","2026-08-10T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","isabella.santos@fleetforce-demo.com","FA-0133","WEX-CARD-005"
"a0GWm000000f50XMAQ","FL-FA-0119-1017","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG97mIAD","EXT-FL-FA-0119-1017","a0CWm00000xn4VIMAY","a0FWm000001SfsTMAS","13.9","true","34200","Diesel","https://www.fleetforce-demo.com/receipts/FL-FA-0119.pdf","#N/A","#N/A","8.33","2026-08-11T11:30:00.000+0000","340","Gallons (US)","4.25","Love's Travel Stop #482","24.5","User User","User User","brooke.sullivan@fleetforce-demo.com","FA-0119","WEX-CARD-006"
"a0GWm000000f50YMAQ","FL-FA-0110-1034","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAOnIAP","EXT-FL-FA-0110-1034","a0CWm00000xn8tiMAA","a0FWm000001SfyvMAC","20.2","true","26300","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0110.pdf","#N/A","#N/A","4.91","2026-08-12T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","noah.ramirez@fleetforce-demo.com","FA-0110","WEX-CARD-011"
"a0GWm000000f529MAA","FL-FA-0121-1018","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAQPIA5","EXT-FL-FA-0121-1018","a0CWm00000xn4VJMAY","a0FWm000001Sfu5MAC","13.9","true","29400","Diesel","https://www.fleetforce-demo.com/receipts/FL-FA-0121.pdf","#N/A","#N/A","8.33","2026-08-12T11:30:00.000+0000","340","Gallons (US)","4.25","Love's Travel Stop #482","24.5","User User","User User","wyatt.travis@fleetforce-demo.com","FA-0121","WEX-CARD-007"
"a0GWm000000f53lMAA","FL-FA-0118-1019","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG8LPIA1","EXT-FL-FA-0118-1019","a0CWm00000xn5uYMAQ","a0FWm000001SfvhMAC","20.2","true","118500","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0118.pdf","#N/A","#N/A","4.91","2026-08-13T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","liam.washington@fleetforce-demo.com","FA-0118","WEX-CARD-008"
"a0GWm000000f55NMAQ","FL-FA-0104-1020","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3C4IAL","EXT-FL-FA-0104-1020","a0CWm00000xn6SoMAI","a0FWm000001SfccMAC","20.2","true","27500","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0104.pdf","#N/A","#N/A","4.91","2026-08-14T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","sophia.alvarez@fleetforce-demo.com","FA-0104","WEX-CARD-009"
"a0GWm000000f56zMAA","FL-FA-0116-1022","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAS1IAP","EXT-FL-FA-0116-1022","a0CWm00000xn7VgMAI","a0FWm000001SfyvMAC","13.9","true","62100","Diesel","https://www.fleetforce-demo.com/receipts/FL-FA-0116.pdf","#N/A","#N/A","8.33","2026-08-16T11:30:00.000+0000","340","Gallons (US)","4.25","Love's Travel Stop #482","24.5","User User","User User","austin.cooper@fleetforce-demo.com","FA-0116","WEX-CARD-011"
"a0GWm000000f58bMAA","FL-FA-0130-1023","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG6DBIA1","EXT-FL-FA-0130-1023","a0CWm00000xn7umMAA","a0FWm000001Sg0XMAS","20.2","true","11200","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0130.pdf","#N/A","#N/A","4.91","2026-08-17T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","carlos.gomez@fleetforce-demo.com","FA-0130","WEX-CARD-012"
"a0GWm000000f5ADMAY","FL-FA-0127-1024","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG9J5IAL","EXT-FL-FA-0127-1024","a0CWm00000xn7w8MAA","a0FWm000001SfkPMAS","3.8","true","10","Electric Charge.","https://www.fleetforce-demo.com/receipts/FL-FA-0127.pdf","#N/A","#N/A","0.84","2026-08-10T11:30:00.000+0000","340","kWh.","0.18","ChargePoint Commercial Depot (Atlanta Hub)","58.5","User User","User User","aaliyah.jackson@fleetforce-demo.com","FA-0127","WEX-CARD-001"
"a0GWm000000f5BpMAI","FL-FA-0128-1025","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAOoIAP","EXT-FL-FA-0128-1025","a0CWm00000xn7w9MAA","a0FWm000001Sfm1MAC","20.2","true","28900","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0128.pdf","#N/A","#N/A","4.91","2026-08-11T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","zoe.kaufman@fleetforce-demo.com","FA-0128","WEX-CARD-002"
"a0GWm000000f5BqMAI","FL-FA-0125-1026","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:38.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3C3IAL","EXT-FL-FA-0125-1026","a0CWm00000xn890MAA","a0FWm000001SfndMAC","20.2","true","13400","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0125.pdf","#N/A","#N/A","4.91","2026-08-12T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","ethan.kowalski@fleetforce-demo.com","FA-0125","WEX-CARD-003"
"a0GWm000000f5DRMAY","FL-FA-0120-1027","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG8d9IAD","EXT-FL-FA-0120-1027","a0CWm00000xn8IeMAI","a0FWm000001SfpFMAS","13.9","true","18600","Diesel","https://www.fleetforce-demo.com/receipts/FL-FA-0120.pdf","#N/A","#N/A","8.33","2026-08-13T11:30:00.000+0000","340","Gallons (US)","4.25","Love's Travel Stop #482","24.5","User User","User User","hannah.lindqvist@fleetforce-demo.com","FA-0120","WEX-CARD-004"
"a0GWm000000f5F3MAI","FL-FA-0134-1028","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG4swIAD","EXT-FL-FA-0134-1028","a0CWm00000xn8IfMAI","a0FWm000001SfqrMAC","20.2","true","33100","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0134.pdf","#N/A","#N/A","4.91","2026-08-14T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","tariq.mansour@fleetforce-demo.com","FA-0134","WEX-CARD-005"
"a0GWm000000f5F4MAI","FL-FA-0107-1031","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG41gIAD","EXT-FL-FA-0107-1031","a0CWm00000xn8grMAA","a0FWm000001SfvhMAC","20.2","true","24800","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0107.pdf","#N/A","#N/A","4.91","2026-08-17T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","gabriel.navarro@fleetforce-demo.com","FA-0107","WEX-CARD-008"
"a0GWm000000f5GfMAI","FL-FA-0112-1029","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG41fIAD","EXT-FL-FA-0112-1029","a0CWm00000xn8VZMAY","a0FWm000001SfsTMAS","20.2","true","12800","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0112.pdf","#N/A","#N/A","4.91","2026-08-15T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","jackson.miller@fleetforce-demo.com","FA-0112","WEX-CARD-006"
"a0GWm000000f5IHMAY","FL-FA-0135-1030","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG4GEIA1","EXT-FL-FA-0135-1030","a0CWm00000xn8aTMAQ","a0FWm000001Sfu5MAC","20.2","true","134000","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0135.pdf","#N/A","#N/A","4.91","2026-08-16T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","lucas.moreno@fleetforce-demo.com","FA-0135","WEX-CARD-007"
"a0GWm000000f5IIMAY","FL-FA-0101-1032","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG8GaIAL","EXT-FL-FA-0101-1032","a0CWm00000xn8lfMAA","a0FWm000001SfccMAC","20.2","true","22400","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0101.pdf","#N/A","#N/A","4.91","2026-08-10T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","derrick.oconnor@fleetforce-demo.com","FA-0101","WEX-CARD-009"
"a0GWm000000f5JtMAI","FL-FA-0126-1033","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:39.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG1qDIAT","EXT-FL-FA-0126-1033","a0CWm00000xn8qWMAQ","a0FWm000001SfxJMAS","20.2","true","22100","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0126.pdf","#N/A","#N/A","4.91","2026-08-11T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","maya.patel@fleetforce-demo.com","FA-0126","WEX-CARD-010"
