"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Fleet_Asset__c","fleetforce__Actual_End__c","fleetforce__Actual_Start__c","fleetforce__Category__c","fleetforce__Date_Reported__c","fleetforce__Description__c","fleetforce__Due_Date__c","fleetforce__Fixed_Cost__c","fleetforce__Is_Labor_Taxable__c","fleetforce__Misc_Fees__c","fleetforce__Odometer__c","fleetforce__Priority__c","fleetforce__Reported_By__c","fleetforce__Scheduled_End__c","fleetforce__Scheduled_Start__c","fleetforce__Status__c","fleetforce__Summary__c","fleetforce__Tax_Rate__c","fleetforce__Total_Labor_Cost__c","fleetforce__Total_Parts_Cost__c","fleetforce__Vendor__c","fleetforce__Violation_Source__c","fleetforce__Grand_Total__c","fleetforce__In_Shop__c","fleetforce__Approval_Status__c","fleetforce__Approved_By__c","fleetforce__Approval_Notes__c","fleetforce__Reviewed_On__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Reported_By__r.Email","fleetforce__Violation_Source__r.Name","fleetforce__Approved_By__r.Name"
"a0OWm000000RLpxMAG","ST-0018","2026-08-19T07:11:30.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:56.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8VZMAY","2026-08-05","2026-08-05","Preventive Maintenance","2026-08-03T11:30:00.000+0000","Toyota hybrid synergy drive service: engine oil 0W-16 exchange, inverter coolant check, brake regenerative actuator calibration.","2026-08-05","#N/A","false","12","10800","Low","003Wm00000GG4GEIA1","2026-08-05","2026-08-05","Completed","Hybrid Powertrain 10k Maintenance","7","175","80","001Wm00000K802rIAB","#N/A","273.44","false","Approved","005Wm000002EIUDIA4","Hybrid scheduled warranty service approved.","2026-08-03T15:30:00.000+0000","User User","User User","FA-0112","lucas.moreno@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLpyMAG","ST-0020","2026-08-19T07:11:30.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:56.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3shMAA","2026-08-09","2026-08-09","Inspection","2026-08-07T10:00:00.000+0000","Major 30k interval: engine oil, cabin/engine filters, brake fluid moisture test, suspension bushing inspection, tire rotation.","2026-08-09","#N/A","false","15","30150","Low","003Wm00000GG8GaIAL","2026-08-09","2026-08-09","Completed","30,000 Mile Comprehensive Inspection","7","190","110","001Wm00000K802qIAB","#N/A","323.75","false","Approved","005Wm000002EIUDIA4","Major milestone inspection authorized.","2026-08-07T14:30:00.000+0000","User User","User User","FA-0114","derrick.oconnor@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLrZMAW","ST-0019","2026-08-19T07:11:30.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:56.000+0000","005Wm000002EIUDIA4","a0CWm00000xn134MAA","2026-08-08","2026-08-07","Corrective Repair","2026-08-05T13:45:00.000+0000","Charging system failure indicator illuminated. Installed 220A heavy-duty commercial alternator and dual AGM auxiliary batteries.","2026-08-08","#N/A","false","25","46900","High","003Wm00000GG41gIAD","2026-08-08","2026-08-07","Completed","Alternator & Auxiliary Battery Replacement","7.5","310","480","001Wm00000K8LJuIAN","#N/A","852.88","false","Approved","005Wm000002EIUDIA4","Expedited electrical repair approved.","2026-08-05T16:00:00.000+0000","User User","User User","FA-0113","gabriel.navarro@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLtBMAW","ST-0021","2026-08-19T07:11:30.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:56.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6nAMAQ","2026-08-11","2026-08-11","Corrective Repair","2026-08-10T08:30:00.000+0000","Repaired two bullseye rock chips on passenger windshield with optical resin. Replaced wiper blades and aligned nozzle sprayers.","2026-08-11","#N/A","false","10","22400","Low","003Wm00000GG1qDIAT","2026-08-11","2026-08-11","Completed","Windshield Chip Repair & Wiper Arm Calibration","7","140","125","001Wm00000K8LJvIAN","#N/A","284.45","false","Approved","005Wm000002EIUDIA4","Glass chip mitigation to prevent crack propagation.","2026-08-10T11:15:00.000+0000","User User","User User","FA-0115","maya.patel@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLunMAG","ST-0022","2026-08-19T07:11:31.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:57.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7VgMAI","2026-08-14","2026-08-13","Corrective Repair","2026-08-11T14:00:00.000+0000","Rear commercial air drum brake rebuild: relined shoes, resurfaced heavy cast drums, lubricated S-cams, adjusted slack adjusters.","2026-08-14","#N/A","true","50","58900","High","003Wm00000GGAOnIAP","2026-08-14","2026-08-13","Completed","Commercial Brake Service & Heavy Drum Resurfacing","8","720","580","001Wm00000K8LJuIAN","#N/A","1458","false","Approved","005Wm000002EIUDIA4","Commercial heavy vehicle drum overhaul approved.","2026-08-11T16:30:00.000+0000","User User","User User","FA-0116","noah.ramirez@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLwPMAW","ST-0023","2026-08-19T07:11:31.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:57.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8IeMAI","2026-08-14","2026-08-14","Preventive Maintenance","2026-08-12T09:00:00.000+0000","Full synthetic 5W-30 oil change, OE oil filter, chassis lubrication, multi-point visual inspection of steering and undercarriage.","2026-08-14","#N/A","false","12","20450","Low","003Wm00000GG3vFIAT","2026-08-14","2026-08-14","Completed","20,000 Mile Oil Service & Multi-Point Inspection","7","160","75","001Wm00000K8LJuIAN","#N/A","253.09","false","Approved","005Wm000002EIUDIA4","Routine PM service approved.","2026-08-12T13:00:00.000+0000","User User","User User","FA-0120","jordan.reed@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLy1MAG","ST-0024","2026-08-19T07:11:31.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:57.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0gZMAQ","2026-08-15","2026-08-14","Telemetry Alert","2026-08-14T09:20:00.000+0000","Triggered by telemetry diagnostic code P0420. Replaced bank 1 catalytic converter assembly and upstream oxygen sensor.","2026-08-15","#N/A","true","40","39800","Critical","003Wm00000GG3vGIAT","2026-08-15","2026-08-14","Completed","Exhaust Catalytic Converter Replacement","8.25","450","920","001Wm00000K802rIAB","a0RWm000001Y4dJMAS","1526.33","false","Approved","005Wm000002EIUDIA4","High-value emissions component replacement authorized.","2026-08-14T09:45:00.000+0000","User User","User User","FA-0117","isabella.santos@fleetforce-demo.com","VIO-0002","User User"
"a0OWm000000RLzdMAG","ST-0025","2026-08-19T07:11:31.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:57.000+0000","005Wm000002EIUDIA4","a0CWm00000xn1BHMAY","2026-08-15","2026-08-15","Preventive Maintenance","2026-08-13T10:15:00.000+0000","Coolant life depleted. Reverse flushed radiator and heater core, filled with fresh 50/50 OAT coolant, replaced aged lower radiator hose.","2026-08-15","#N/A","false","18","34100","Medium","003Wm00000GG97mIAD","2026-08-15","2026-08-15","Completed","Cooling System Flush & Hose Replacement","7","210","130","001Wm00000K802qIAB","#N/A","368.36","false","Approved","005Wm000002EIUDIA4","Preventative cooling system exchange approved.","2026-08-13T14:00:00.000+0000","User User","User User","FA-0123","brooke.sullivan@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RM1FMAW","ST-0026","2026-08-19T07:11:31.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:57.000+0000","005Wm000002EIUDIA4","a0CWm00000xn42cMAA","2026-08-16","2026-08-16","Corrective Repair","2026-08-14T11:30:00.000+0000","Driver reported sliding door sticking. Replaced upper and center door roller hinges, lubricated track, and adjusted center latch striker.","2026-08-16","#N/A","false","20","29600","Medium","003Wm00000GGAQPIA5","2026-08-16","2026-08-16","Completed","Side Cargo Door Latch & Roller Replacement","7.5","240","195","001Wm00000K8LJvIAN","#N/A","471.13","false","Approved","005Wm000002EIUDIA4","Cargo door functional repair authorized.","2026-08-14T15:00:00.000+0000","User User","User User","FA-0124","wyatt.travis@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RM2rMAG","ST-0027","2026-08-19T07:11:31.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:58.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8qWMAQ","2026-08-17","2026-08-17","Preventive Maintenance","2026-08-15T08:45:00.000+0000","Toyota hybrid routine service: synthetic oil, multi-point check, high-voltage battery cooling fan duct lint cleanout.","2026-08-17","#N/A","false","10","10100","Low","003Wm00000GG8LPIA1","2026-08-17","2026-08-17","Completed","10,000 Mile Hybrid Service","7","150","70","001Wm00000K802rIAB","#N/A","235.6","false","Approved","005Wm000002EIUDIA4","Scheduled hybrid interval service approved.","2026-08-15T12:00:00.000+0000","User User","User User","FA-0126","liam.washington@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RM2sMAG","ST-0033","2026-08-19T07:11:33.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3shMAA","#N/A","2026-08-18","Corrective Repair","2026-08-17T14:10:00.000+0000","Outer CV boot torn with grease slung onto wheel well. Disassembling axle, cleaning joint, repacking with molybdenum grease, installing new neoprene boot.","2026-08-19","#N/A","false","15","31900","Medium","003Wm00000GGAOoIAP","2026-08-19","2026-08-18","In-Shop","Front Axle CV Joint Boot Replacement","7","260","140","001Wm00000K802rIAB","#N/A","425.85","true","Approved","005Wm000002EIUDIA4","Drivetrain boot replacement authorized.","2026-08-17T16:45:00.000+0000","User User","User User","FA-0114","zoe.kaufman@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RM4TMAW","ST-0028","2026-08-19T07:11:32.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:58.000+0000","005Wm000002EIUDIA4","a0CWm00000xn890MAA","#N/A","2026-08-18","Corrective Repair","2026-08-17T09:00:00.000+0000","Hydraulic fluid leaking heavily from steering pinion seal. Vehicle currently on shop hoist awaiting remanufactured rack & pinion delivery.","2026-08-19","#N/A","false","30","42100","High","003Wm00000GG3C4IAL","2026-08-19","2026-08-18","In-Shop","Power Steering Rack Replacement & Alignment","8","380","520","001Wm00000K8LJuIAN","#N/A","974","true","Approved","005Wm000002EIUDIA4","Steering rack replacement quote approved.","2026-08-17T14:00:00.000+0000","User User","User User","FA-0125","sophia.alvarez@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RM65MAG","ST-0029","2026-08-19T07:11:32.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:58.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VIMAY","#N/A","2026-08-17","Corrective Repair","2026-08-16T15:20:00.000+0000","Driver reported loss of engine boost under heavy load. Smoke test identified cracked intercooler end tank. Replacement intercooler ordered.","2026-08-19","#N/A","false","35","49800","Critical","003Wm00000GFwVbIAL","2026-08-19","2026-08-17","In-Shop","Turbocharger Boost Leak & Intercooler Repair","7.5","450","680","001Wm00000K8LJuIAN","#N/A","1218.63","true","Approved","005Wm000002EIUDIA4","Commercial diesel turbo overhaul quote approved.","2026-08-16T17:30:00.000+0000","User User","User User","FA-0119","chloe.bennett@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RM7hMAG","ST-0030","2026-08-19T07:11:32.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:58.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VJMAY","#N/A","2026-08-18","Corrective Repair","2026-08-17T11:45:00.000+0000","Audible clunking over road imperfections. Front passenger lower ball joint exhibiting excessive axial play. Replacing loaded strut assemblies.","2026-08-19","#N/A","false","25","36700","High","003Wm00000GGAS1IAP","2026-08-19","2026-08-18","In-Shop","Suspension Strut & Ball Joint Replacement","7","320","440","001Wm00000K802rIAB","#N/A","817.55","true","Approved","005Wm000002EIUDIA4","Front suspension overhaul approved.","2026-08-17T16:00:00.000+0000","User User","User User","FA-0121","austin.cooper@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RM7iMAG","ST-0036","2026-08-19T07:11:33.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7w9MAA","#N/A","#N/A","Preventive Maintenance","2026-08-18T08:00:00.000+0000","Upcoming 30,000-mile scheduled factory maintenance window. Queued for standard booking with Apex Fleet Services.","2026-08-25","0","false","#N/A","29800","Low","003Wm00000GG4swIAD","2026-08-25","2026-08-25","Draft","Scheduled 30,000 Mile Service","7","#N/A","#N/A","001Wm00000K802qIAB","#N/A","0","false","Not Required","#N/A","#N/A","#N/A","User User","User User","FA-0128","tariq.mansour@fleetforce-demo.com","#N/A","#N/A"
"a0OWm000000RM9JMAW","ST-0031","2026-08-19T07:11:32.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:58.000+0000","005Wm000002EIUDIA4","a0CWm00000xmwMdMAI","#N/A","2026-08-18","Inspection","2026-08-17T08:00:00.000+0000","Comprehensive 75-point pre-DOT commercial vehicle inspection in progress: air brake timing, kingpin play, lighting, emergency equipment.","2026-08-18","#N/A","false","0","54100","Medium","003Wm00000GG6DBIA1","2026-08-18","2026-08-18","In-Shop","Pre-DOT Heavy Commercial Vehicle Inspection","7","250","0","001Wm00000K8LJuIAN","#N/A","250","true","Approved","005Wm000002EIUDIA4","Commercial DOT regulatory inspection approved.","2026-08-17T09:30:00.000+0000","User User","User User","FA-0108","carlos.gomez@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RMAvMAO","ST-0032","2026-08-19T07:11:32.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6SoMAI","#N/A","2026-08-18","Corrective Repair","2026-08-17T13:30:00.000+0000","Rear passenger brake dragging due to seized caliper slide pin. Removing rust, replacing rubber boots, installing new rear ceramic pads.","2026-08-19","#N/A","false","20","33200","Medium","003Wm00000GG9J5IAL","2026-08-19","2026-08-18","In-Shop","Rear Brake Pad & Caliper Slide Service","7.5","220","180","001Wm00000K802qIAB","#N/A","435","true","Approved","005Wm000002EIUDIA4","Brake caliper service quote approved.","2026-08-17T15:15:00.000+0000","User User","User User","FA-0104","aaliyah.jackson@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RMCXMA4","ST-0034","2026-08-19T07:11:33.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7VgMAI","#N/A","2026-08-18","Corrective Repair","2026-08-17T16:00:00.000+0000","Corroded steel rear brake hard line leaking fluid. Vehicle taken out of service immediately. Fabricating replacement copper-nickel hydraulic lines.","2026-08-19","#N/A","false","25","61200","Critical","003Wm00000GG3C3IAL","2026-08-19","2026-08-18","In-Shop","Hydraulic Brake Line Leak Repair","8","340","160","001Wm00000K8LJuIAN","#N/A","539.8","true","Approved","005Wm000002EIUDIA4","Critical hydraulic brake line replacement authorized.","2026-08-17T16:30:00.000+0000","User User","User User","FA-0116","ethan.kowalski@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RME9MAO","ST-0035","2026-08-19T07:11:33.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SnMAI","#N/A","2026-08-18","Preventive Maintenance","2026-08-18T07:30:00.000+0000","Rough idle upon cold start. Performing on-engine pressurized fuel injector detergent flush and cleaning electronic throttle plate carbon deposits.","2026-08-19","#N/A","false","15","28400","Medium","003Wm00000GG8d9IAD","2026-08-19","2026-08-18","In-Shop","Fuel Injector Cleaning & Throttle Body Service","7","210","85","001Wm00000K802qIAB","#N/A","317","true","Pending Approval","#N/A","#N/A","#N/A","User User","User User","FA-0105","hannah.lindqvist@fleetforce-demo.com","#N/A","#N/A"
"a0OWm000000RMFlMAO","ST-0037","2026-08-19T07:11:33.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy79MAA","#N/A","#N/A","Preventive Maintenance","2026-08-18T08:30:00.000+0000","Upcoming 45,000-mile comprehensive service interval: coolant testing, spark check, serpentine belt inspection.","2026-08-27","0","false","#N/A","44600","Low","003Wm00000GG41fIAD","2026-08-27","2026-08-27","Draft","Scheduled 45,000 Mile Service","7","#N/A","#N/A","001Wm00000K802qIAB","#N/A","0","false","Not Required","#N/A","#N/A","#N/A","User User","User User","FA-0129","jackson.miller@fleetforce-demo.com","#N/A","#N/A"
"a0OWm000000RMHNMA4","ST-0038","2026-08-19T07:11:34.000+0000","005Wm000002EIUDIA4","2026-08-19T07:37:00.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7umMAA","#N/A","#N/A","Inspection","2026-08-18T09:00:00.000+0000","Pre-autumn fleet seasonal preparation: tire tread depth measurement, battery cold-crank amp test, washer fluid freeze rating.","2026-09-02","0","false","#N/A","18200","Low","003Wm00000GG4GEIA1","2026-09-02","2026-09-02","Draft","Fall Season Fleet Preparation & Tire Check","7","#N/A","#N/A","001Wm00000K802rIAB","#N/A","0","false","Not Required","#N/A","#N/A","#N/A","User User","User User","FA-0130","lucas.moreno@fleetforce-demo.com","#N/A","#N/A"
"a0OWm000000RMIzMAO","ST-0039","2026-08-19T07:11:34.000+0000","005Wm000002EIUDIA4","2026-08-19T07:37:00.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3yzMAA","#N/A","#N/A","Inspection","2026-08-18T09:30:00.000+0000","Quarterly branch asset safety audit: fire extinguisher tag check, first aid kit replenishment, emergency reflector inspection.","2026-09-05","0","false","#N/A","21500","Medium","003Wm00000GG41gIAD","2026-09-05","2026-09-05","Draft","Quarterly Fleet Safety Audit","7","#N/A","#N/A","001Wm00000K8LJvIAN","#N/A","0","false","Pending Approval","#N/A","#N/A","#N/A","User User","User User","FA-0131","gabriel.navarro@fleetforce-demo.com","#N/A","#N/A"
"a0OWm000000RMKbMAO","ST-0040","2026-08-19T07:11:34.000+0000","005Wm000002EIUDIA4","2026-08-19T07:37:00.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy7AMAQ","#N/A","#N/A","Preventive Maintenance","2026-08-18T10:00:00.000+0000","Upcoming scheduled brake and power steering fluid exchange window.","2026-09-08","0","false","#N/A","34800","Low","003Wm00000GG8GaIAL","2026-09-08","2026-09-08","Draft","Scheduled 35,000 Mile Fluid Exchange","7","#N/A","#N/A","001Wm00000K802qIAB","#N/A","0","false","Pending Approval","#N/A","#N/A","#N/A","User User","User User","FA-0132","derrick.oconnor@fleetforce-demo.com","#N/A","#N/A"
