"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Driver__c","fleetforce__Equipment__c","fleetforce__Fleet_Asset__c","fleetforce__Is_Ack__c","fleetforce__Limit__c","fleetforce__Location__Latitude__s","fleetforce__Location__Longitude__s","fleetforce__Notes__c","fleetforce__Severity__c","fleetforce__Timestamp__c","fleetforce__Type__c","fleetforce__Value__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Driver__r.Email","fleetforce__Equipment__r.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c"
"a0RWm000001Y4jlMAC","005Wm000002EIUDIA4","VIO-0007","2026-08-19T07:08:17.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:17.000+0000","005Wm000002EIUDIA4","003Wm00000GG3C4IAL","#N/A","a0CWm00000xn8lfMAA","true","#N/A","#N/A","#N/A","#N/A","High","2026-08-17T13:40:00.000+0000","Speeding","82 mph (Speed Limit: 65 mph)","User User","User User","User User","sophia.alvarez@fleetforce-demo.com","#N/A","FA-0101"
"a0RWm000001Y4lNMAS","005Wm000002EIUDIA4","VIO-0009","2026-08-19T07:08:17.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","003Wm00000GGAOoIAP","#N/A","a0CWm00000xn3SnMAI","true","#N/A","#N/A","#N/A","#N/A","High","2026-08-04T17:35:00.000+0000","Geofence Breach","Out of Zone Corridor (18 mi)","User User","User User","User User","zoe.kaufman@fleetforce-demo.com","#N/A","FA-0105"
"a0RWm000001Y4mzMAC","005Wm000002EIUDIA4","VIO-0010","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","003Wm00000GG4swIAD","#N/A","a0CWm00000xn4VIMAY","false","#N/A","#N/A","#N/A","#N/A","High","2026-07-28T15:10:00.000+0000","Engine Overtemp","228°F High Temp Warning","User User","User User","User User","tariq.mansour@fleetforce-demo.com","#N/A","FA-0119"
"a0RWm000001Y4obMAC","005Wm000002EIUDIA4","VIO-0011","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","003Wm00000GGAS1IAP","#N/A","a0CWm00000xmxXYMAY","false","#N/A","#N/A","#N/A","#N/A","Medium","2026-08-13T10:30:00.000+0000","Harsh Braking","-9.2 mph/s Deceleration","User User","User User","User User","austin.cooper@fleetforce-demo.com","#N/A","FA-0102"
"a0RWm000001Y4qDMAS","005Wm000002EIUDIA4","VIO-0013","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","003Wm00000GG41fIAD","#N/A","a0CWm00000xn3shMAA","false","#N/A","#N/A","#N/A","#N/A","Medium","2026-07-31T11:45:00.000+0000","Geofence Breach","Unauthorized Boundary (3.2 mi)","User User","User User","User User","jackson.miller@fleetforce-demo.com","#N/A","FA-0114"
"a0RWm000001Y4qEMAS","005Wm000002EIUDIA4","VIO-0020","2026-08-19T07:08:20.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:20.000+0000","005Wm000002EIUDIA4","003Wm00000GGAQPIA5","#N/A","a0CWm00000xn3yzMAA","false","#N/A","#N/A","#N/A","#N/A","Low","2026-07-24T15:25:00.000+0000","Seatbelt","Seatbelt Unfastened in Motion","User User","User User","User User","wyatt.travis@fleetforce-demo.com","#N/A","FA-0131"
"a0RWm000001Y4rpMAC","005Wm000002EIUDIA4","VIO-0016","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","003Wm00000GG4GEIA1","#N/A","a0CWm00000xn3SoMAI","false","#N/A","#N/A","#N/A","#N/A","Low","2026-08-07T12:00:00.000+0000","Idling","48 min Excessive Idle","User User","User User","User User","lucas.moreno@fleetforce-demo.com","#N/A","FA-0106"
"a0RWm000001Y4tRMAS","005Wm000002EIUDIA4","VIO-0017","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","003Wm00000GG41gIAD","#N/A","a0CWm00000xn8tiMAA","false","#N/A","#N/A","#N/A","#N/A","Low","2026-08-09T08:40:00.000+0000","Seatbelt","Seatbelt Unfastened in Motion","User User","User User","User User","gabriel.navarro@fleetforce-demo.com","#N/A","FA-0110"
"a0RWm000001Y4v3MAC","005Wm000002EIUDIA4","VIO-0018","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","003Wm00000GG3vGIAT","#N/A","a0CWm00000xn6nAMAQ","false","#N/A","#N/A","#N/A","#N/A","Low","2026-08-05T13:15:00.000+0000","Idling","35 min Excessive Idle","User User","User User","User User","isabella.santos@fleetforce-demo.com","#N/A","FA-0115"
"a0RWm000001Y4wfMAC","005Wm000002EIUDIA4","VIO-0021","2026-08-19T07:08:20.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:20.000+0000","005Wm000002EIUDIA4","003Wm00000GG8LPIA1","#N/A","a0CWm00000xn8IfMAI","false","#N/A","#N/A","#N/A","#N/A","Low","2026-07-21T14:18:00.000+0000","Idling","52 min Excessive Idle","User User","User User","User User","liam.washington@fleetforce-demo.com","#N/A","FA-0134"
